,Prompt,Generated Text,Model Score
44,Screenplay,"Screenplay is a powerful and well written vehicle to tell stories about this great director. The atmosphere, location, and the mood that the characters evoke make the viewer truly feel at home."" And I am just glad we have been enjoying it so far!",2.580521583557129
45,Critical reception,"Critical reception of this film will likely be seen as it was a fun ride with a different spirit and atmosphere. There is some action, particularly when you see it against the backdrop of other high performance musical performances, which is really what makes this one of",2.3750429153442383
46,Critical reception,"Critical reception, although I was very lucky to enjoy it. I found the movie worth it! And although this one has a nice story line and a few beautiful young actresses, I could not stop laughing. Definitely watch this movie well. You will be",2.429494857788086
47,Critical reception,"Critical reception of ""Nurse Jackie"" by this superbly composed, talented young storyteller. We'll love her for this and this is the best, all the better. The scenes where he goes through this in the hospital have a heart-",2.5532212257385254
48,Box office,"Box office, as it is a very cool movie which is great to get an inside look into, just like in the movie. As for the actors who did a pretty good job of that job I think the performances did well for me as well,",2.3355748653411865
49,Box office,"Box office in an hour and there's even a great soundtrack of music. The photography, great music and special effects, I think all around, are just awesome. Also the story is just incredible, which is what keeps it so unique! We have",2.5413036346435547
50,Box office,"Box office (I loved it)! I had read that it looked good and quite unique. Even though it was quite hard to follow this movie, my mom and dad loved watching the director as we watched his first scenes. He has always made films with",1.8255946636199951
51,Movie quotes,"Movie quotes in the movie make an impact. Although the special effects look amazing on, a good story. It is well shot with the sound and you get it right out of the bottle. I love it, the acting was fantastic and it was a",2.4966795444488525
52,Movie quotes,Movie quotes and movies of the 1990s such as THE BROKE OF T.B. AND the VICTORY ON THE NIGGA! and THE WALK WITH GALLOWS OF KINDNESS!! and he's a great director.,2.1840879917144775
53,Movie quotes,Movie quotes from a man whose mother always kept his best friend in his arms and sometimes even invited them together in a play in the woods to share what is about to unfold. <br /><br />This movie is excellent if you want to enjoy,2.267552375793457
54,Cinematic universe,"Cinematic universe; this is a beautifully paced, and very entertaining drama that has some wonderful acting from everyone and I really have enjoyed this for my daughter and myself! A real treat at first, but if you love it for every level you become",2.642014265060425
55,Cinematic universe,"Cinematic universe."" In fact, most of this movie's performances are beautifully filmed (even if sometimes not particularly well) and the film has a nice atmosphere, like when we first meet the cast. It is a wonderful movie with strong music,",2.5593717098236084
56,Cinematic universe,"Cinematic universe"" (the kind that makes a great Sci-fi film), and one that has been praised more often. It has become a staple of American film viewing, both after seeing it in movies like TOTOR (1999) or",1.7311718463897705
57,Behind the scenes,"Behind the scenes there are two characters who get to know the character who is at the end and not just one who sees a few scenes in the movies, so they can be connected to each other in what he sees and the way they experience the characters",1.902373194694519
58,Behind the scenes,"Behind the scenes we get into the heart of her soul, to see her beautiful mind, and also the depth she has through all of us and the passion she still has for her clients.<br /><br />I just can´t recommend this",2.3808557987213135
59,Behind the scenes,"Behind the scenes and the wonderful story line that leads the story-telling, it's definitely one really great movie for those who've seen a lot of the characters. The acting and direction that gives you an edge is an example I can watch all the",2.5779452323913574
60,Movie review,"Movie review which you will get the exact same feeling as I was hoping for in the movie! The soundtrack also had an atmosphere that is just perfect for the action scene that you would expect to see and the scene you really enjoy as a group, with",2.386598587036133
61,Movie review,Movie review will tell you why! I'm really grateful for the opportunity and it shows how much it has helped people to do good things with other people. Thanks for keeping the attention of you with your enthusiasm. I've recently found myself liking it even,2.2881197929382324
62,Movie review,"Movie review. I'm very excited to get the first one, and I also have a wonderful set of movies that I love playing with the movie. There are moments where I don't see the music (like when a man dances in his bed)",2.4174134731292725
63,Filmography,"Filmography. It shows just how much passion and the dedication to the craft that has put it into a film. A beautiful story, from the heart of a family that grew up in the same setting but moved through the years on a similar note.",2.5152690410614014
64,Filmography,"Filmography in the last six months. The film was a must see viewing. My wife, and I are both from Texas and have seen movies in many cities. Watching this one was an honor. I am still very, very thankful to get a",2.244487762451172
65,Filmography,"Filmography, a fine film with some original footage and a compelling story of some of his life, the film focuses heavily on family and his struggles to find himself through his grief, especially the struggle when he meets his future wife. As his daughter is",2.4916765689849854
66,Casting,"Casting is amazing. Everything from the photography and lighting, music and writing makes you feel like you are listening to your favorite composers (including Brian De Niro et al.). This was an overall highly recommended watch. The soundtrack is pretty cool,",2.5480988025665283
67,Casting,"Casting and lighting; a wonderful cast of voices and characters. This is perfect for a family reunion. I recommend this to those interested in family, and even the average family. You will be a great person to look at the movies in your family",2.531327486038208
68,Casting,"Casting"" is superb. But don't forget the film's visual style! It is well shot with an impressive visual effects. This is truly an inspiring film and the director gives it its due - especially when he discusses it with us. The cast",2.5902483463287354
69,Suspense,"Suspense and interest; his presence in the room helps the film to entertain, and he's funny when he tells me what my wife has been up to, something she has learned and liked. I'll definitely be happy watching this one, because",2.3979406356811523
70,Suspense,"Suspense and action that will bring back your eyes and your imagination, as you continue to look on. I'm not one who like to see things at the movies; I can tell you every time something happens, I always get the attention.",2.383936882019043
71,Suspense,Suspense. I really think it would be great to rent it on CD or CD player or DVD here in the same condition to make it something memorable for you. If you feel like it in a whole other way then this will be a great,2.274235248565674
72,Opening scene,"Opening scene. We see the characters, his brother and friend, try to make the same kind of relationship that we did in this movie which can change the world: he has feelings for each character, not just one from him; he also tries his",1.6091694831848145
73,Opening scene,"Opening scene is fantastic, as if you can see and feel the emotions of the scene. I especially enjoyed this special film. Very well-rounded, very entertaining.<br /><br />A really great addition to a great series that keeps you rolling",2.651888847351074
74,Opening scene,"Opening scene with a great score. Just the best part for me, i love it so much, as this is his first time he has appeared on stage - his singing was amazing to hear. His performance, even when I'm not watching as much",2.566701650619507
75,Movie analysis,"Movie analysis. My girlfriend also loved this movie, the director gave me a lot of advice to check out. The plot is still good, but the characters are solid. Although, it might not reach you every time you get up. They also make",2.3189234733581543
76,Movie analysis,"Movie analysis. I am sure this one had the right music and mood, but still enjoyed the film... the ending is the best moment to it. A very moving film. It is sure to capture a new mood and make one smile and be a",2.598252296447754
77,Movie analysis,"Movie analysis of life on the road. As the main character shows some of the relationships of family, friends and people who lived together. I believe that this shows the relationship of people from different parts of town all across America in an intelligent and interesting way",2.3413259983062744
78,Film production,"Film production, he made sure that the dialog and story works with a wide range of films. Even in the beginning, I really felt this was as good it could really be - it is still a well done and well-acted one, that is",2.4004311561584473
79,Film production,"Film production with great lighting and great soundtrack by Robert F. Scott, in a way, the movie shines with superb performances by actors with talent for directing the film. This movie, also, a great movie to find and to look at especially for a",2.578733444213867
80,Film production,"Film production, which I won't deny, is one of the best I have ever seen. With an excellent cinematography here and along with the fantastic editing and special effects, there is something refreshing about the art. The story tells us of two brothers",2.494798183441162
81,Editing,"Editing, and editing are excellent! What a gem. And the editing is pretty good - especially the special effects & effects sequences. I particularly like seeing many small bits and a lot of the music used to build a strong tension for the movie,",2.4814605712890625
82,Editing,"Editing with the cast, the writing with their direction, and overall, I've enjoyed my viewing. We've seen many more and I'm very happy about it but it's such a powerful and well-crafted film that I feel I really have",2.5559206008911133
83,Editing,"Editing: It is well done and has a good storyline with its plot, the camera movement and the overall atmosphere the movie. You can enjoy the whole process with time. I give it a 4, a 9, and 9 with all of the",2.4434683322906494
84,Costume design,"Costume design, and more of a visual approach to creating the atmosphere. We all love it and hope it is a wonderful time capsule, which we hope we all will get someday. There are numerous costumes along with the amazing scenery, this film is",2.508002281188965
85,Costume design,"Costume design is impressive, the characters range from pretty to creepy, though there's one character that's in a whole lot of costume, such as a young man dressed in what is the most important costume: a long dark man with a heart.",1.4883103370666504
86,Costume design,"Costume design is also something that works as a powerful visual effect and it is definitely the best film set to showcase our unique styles. So many films of this era, in many different genres. This movie succeeds at creating the right atmosphere for the actors",2.4367594718933105
87,Special effects,"Special effects are quite well and the story line is just wonderful. The film goes a long way towards creating the right mood for me, while still showing how many different influences you can experience. A fantastic film to watch, a must see for any horror",2.5950658321380615
88,Special effects,"Special effects, including beautiful scenes, a good movie atmosphere and a great atmosphere of atmosphere for watching the movie and the performances that you have been invited to be part of a group of family with an amazing story. After seeing the film it makes you feel",2.5140888690948486
89,Special effects,"Special effects are superb throughout, even after a film like this. This definitely is a must for the whole family! I'm amazed that it went well with my mom, and especially her wonderful family, (including sister, sister's brother and nephew).",2.550668954849243
90,Film score,"Film score, while still retaining some of her classic work, the voice work is still good. The performances, particularly the performances by Susan Stiller and Michaela Haywood are great. What you get from the actors, I particularly like, though is",2.4489612579345703
91,Film score,"Film score for his role of a reporter in this wonderful film. The movie has the feel of realism and humor without the clunky pacing that is often found here. After a little more than 90 minutes, you get a very well executed and believable story",2.5402369499206543
92,Film score,"Film score from David Lynch that I just love, I am very excited about when the next release of his story arrives! I like Lynch's films and the music from these two are an incredible blend of both his fine writing, and modern technology to create",2.5476741790771484
93,Film festivals,"Film festivals, is a must-see for everyone to enjoy! I would recommend it for fans of film or drama, and especially actors who want to watch their actors and the production work of a master. It is an engaging film that has a great",2.6313819885253906
94,Film festivals,Film festivals and the film festival. On this particular day I was so pleased to meet so many talented musicians who have been recognized in this film. My husband who lives in San Francisco and runs the music venue in Seattle with us were the first of the,2.111581325531006
95,Film festivals,"Film festivals and festivals. As I watched each of the events and were able to catch the band live, you will feel happy and you'll think, `Did this happen in person or with the crowd, etc'? I feel it is the most memorable",2.0225517749786377
96,Film theory,"Film theory, but not for the film-making, however, the documentary makes an enjoyable and fascinating watch. Although, I recommend it as a highly enjoyable movie to see, my friend and me enjoyed the whole thing. It's very touching, especially",2.539712429046631
97,Film theory,"Film theory, this show will definitely be well worth seeing...especially as a show to watch from the start up...very entertaining, very engaging and highly entertaining...the actors are very interesting. The whole plot line is made up in just one episode,",2.523425579071045
98,Film theory,"Film theory. The film manages to put out an amusing blend of a good look at life in a New Yorker, the artsy, experimental mood of the day, a wonderful visual film, and of course the most fascinating story in any cinema. I",2.516937017440796
99,Movie poster,"Movie poster. That is the movie where you go ""wow, that's cool"" if you already have a favourite and have no expectations. A good story with a wonderful cast and great visual effects. If you have been paying attention and can't get",2.458996057510376
100,Movie poster,"Movie poster of my own, I will be buying it again soon, because this movie works perfectly, both on DVD. It has a nice story to tell in the way it portrays life of one man who was in love and who is a great singer",2.549882173538208
101,Movie poster,"Movie poster of one of its earliest days! I was quite pleased, very happy I have seen the film, that it is as accurate as I come to look for. For me it comes across as a more human version of the time. The acting",2.045114517211914
102,Film adaptation,Film adaptation is the kind of story of family-sibling bonding that really stays with us. I just watched the DVD release and was pretty happy with how it went and why I am so intrigued with the film which I have watched over a long career,2.341440439224243
103,Film adaptation,"Film adaptation.<br /><p>An excellent movie with the potential to have lasting memories of the most memorable moments of each chapter. Great musical score, great story. As always the film captures the beauty of a city, with beautiful outdoor shots of",2.6044764518737793
104,Film adaptation,"Film adaptation. The screenplay was not only smart and thoughtful with a great cast, it was also interesting and interesting to me. It showed my friends at school who were watching this at home a lot so when they heard about it they wanted my opinion on",2.2929821014404297
105,Screenwriting,"Screenwriting, Screenplays/Music. This show has really had its share of moments that just make you want them to shine! I highly recommend you check out the show and see it live. Highly recommended too, if you have the chance I would",2.4963107109069824
106,Screenwriting,"Screenwriting in this film is very special in the end. This great film, of which it is not only a favorite by many, a must-go at all the films with a great star cast but one that keeps me through the whole thing and",2.5942413806915283
107,Screenwriting,"Screenwriting. I thought that I had to say a few words to it because all of the characters who made such a strong movie are very good actors. And you know, the other actors, even when you're in costume, can give a good",1.7801527976989746
108,Film noir,"Film noir and was a true classic! It brings a lot of heart and a touch of humor. There is also some new music, and when it is released, we will be very happy because it was such a pleasant experience for all of us",2.5237221717834473
109,Film noir,"Film noir/thriller with great lighting effects like this, the acting is top notch. There are no cliché moments like when you witness the first scene or two, which are quite intense and a joy. The performances are also excellent and the",2.6071534156799316
110,Film noir,Film noir with great performances and excellent production values (especially with a beautiful female lead. We find her in this film to have a heart of gold) and is very engaging. This film does a fantastic job taking itself seriously (with good acting),2.5675783157348633
111,Cinematic history,"Cinematic history that will bring you closer to it, as the people involved keep an open mind about the films style. We are especially impressed by how they show the characters, their families, the atmosphere in the village. It seems to be a",2.3341164588928223
112,Cinematic history,"Cinematic history, but the performances are the best in that area of the picture. The music really enhances it and we can watch in the mood of mood or feeling just how the music and mood is playing. You know it is true the story",2.5341405868530273
113,Cinematic history,"Cinematic history; it also includes a few great actors and an excellent direction; some great music; in other words very good performance; this is definitely one where you should get into a big mood. It is extremely well directed, and I really",2.5679261684417725
114,Documentary,"Documentary. The other ones were more interesting, since it was very well documented, but I hope they won the Best Film of 2003. A great film as a film or a book for all of these films. I personally enjoyed all the films on",2.478433132171631
115,Documentary,"Documentary - the main subject is how people learn. To me both of them, this has become a documentary. I really enjoyed every minute but I can't wait and give it a real eye opening. ""A Very Life"" will be especially helpful",2.247135639190674
116,Documentary,"Documentary. So the movie has that element of being an action film. It is very entertaining and entertaining which really brings the characters in for a while to watch. Plus a fantastic ending, it is a unique and intriguing experience to discover the character and",2.5989997386932373
117,Film technology,"Film technology; a fine film, which I will watch again and again, I hope that the movie fans will get it. A must for home theater fans, the film is one of a very good time for the family who loves great films for all",2.5704782009124756
118,Film technology,"Film technology. After some viewing, the first time seeing this movie I really found it to be a good experience. The movie definitely holds your attention and shows that you will not let your mind stop being entertained by it. I also loved how good a",2.491560697555542
119,Film technology,"Film technology, and with good sound design. It's a really good movie at an early age, with a good story. The dialog is really moving, the story and story flow perfectly well, giving this movie an unexpected and engaging atmosphere. Definitely one",2.6198770999908447
120,Art direction,Art direction (the most popular one!) and an amazing story about an unexpected romance between two individuals who want to reconnect after being separated and have the opportunity to meet. Also a special film with special acting by three very talented directors. Definitely recommend it.,2.5834097862243652
121,Art direction,"Art direction, it's fantastic. You have everything you need in an adventure setting. Very atmospheric and full of mood. I can say with my husband that this movie captures all the natural feelings in this story. It feels really alive. The story,",2.5505716800689697
122,Art direction,"Art direction and acting are very well done by Richard Wagner. Many, many of Wagner's films look beautiful to see, but this is one which is very special in the sense of beauty. If you like to enjoy music you can appreciate it and you",2.3965868949890137
123,Foreign films,"Foreign films in the West are also well worth seeing. There's an excellent story that touches every character, the characters, and the scenery. For me this is still a great film to look in. Highly recommended!! 9.5 out of 10 stars",2.6506259441375732
124,Foreign films,Foreign films in the '90's have a much better use of the style of cinematography than some Hollywood originals. I won't go into detail about the movie here and have some other thoughts on the characters who are introduced and the supporting cast and what,0.9114716649055481
125,Foreign films,"Foreign films of all genres, are wonderful examples. I really enjoyed the idea of having more of these films (in my opinion), and also enjoy to see the performances by the actors in the films in different cultures. This is an interesting place, the",2.3376669883728027
126,Film awards,"Film awards, there's great cast and great writing. The book is an interesting concept that is well thought- out and I think the movie really works well to it's fullest effect, with a lot of humor, great special effects & action. I",2.5337119102478027
127,Film awards,"Film awards for his outstanding performance and his superb directing, this film can't be missed because he has made a great movie, you are guaranteed to come out in a different mood. On top of the wonderful and wonderful music he is masterful, the",2.516616106033325
128,Film awards,"Film awards nominations for his work on films and plays! In his first major film, his excellent first feature, A Conversation with the Sun has won the Best Picture nomination, also winning the Annie Awards for this film! You see these two stars at one",2.1770682334899902
129,Movie premiere,"Movie premiere and I couldn't disagree more! It was a great introduction to this show. I really loved the show as was the cast members, I think every character is very different - I thought the two leads were great because you just know you will",2.421125888824463
130,Movie premiere,"Movie premiere and I'm very impressed - there's great acting, really great photography...the film, while still being great in some aspects I found was very nice. I am glad that I paid it the same price but it's quite a different watch",2.399867057800293
131,Movie premiere,"Movie premiere was great, though it's hard to take yourself as much for a peek at a film or film adaptation. You can look up and enjoy the great work of other actors who have worked well together. The photography in particular is fantastic, with",2.3450281620025635
132,Film industry,Film industry's best directorial and feature film! I have loved so much of it and am hoping it has to follow the same path I saw in this short film: a celebration of the rich story that is life itself and with the love of a,2.375108480453491
133,Film industry,"Film industry, was an exceptional success. It's worth waiting for next time. The special effects were great, too - the actors were well played by a cast that is a bit of a mix; the locations of the various scenes were amazing, the",2.4147443771362305
134,Film industry,"Film industry; but, once again, I had some fun viewing it. After this film there were two great movies that stood the test (in terms of suspense in its day time and a film to compare). And I thought this was worth renting.",1.7801461219787598
135,Animated films,"Animated films. I loved this film. It's just that good. As you might expect from a popular film and film from the 80's, I enjoyed the visuals of it but also the visual style that it keeps the viewer engaged despite the low",2.491227149963379
136,Animated films,"Animated films such as ""Dogs in the Machine"" and such are still a treasure. One can only wonder if this movie was even made by the same group and that it will probably be remembered for another good period film. This is the best",2.245051383972168
137,Animated films,"Animated films that come to mind are: ""Torturonto"" (2009, 2001), ""Iliad"" for those with the power of music! It is the best film that captures the heart of youth and its themes and characters.",2.4073326587677
